time_s,temperature_C,pwm,heat_cool
0.12,22.35,74,0
0.24,22.37,74,0
0.36,22.4,74,0
0.49,22.41,74,0
0.61,22.44,74,0
0.73,22.46,74,0
0.85,22.47,74,0
0.98,22.49,74,0
1.1,22.5,74,0
1.22,22.53,74,0
1.34,22.53,74,0
1.47,22.54,74,0
1.59,22.55,74,0
1.71,22.55,74,0
1.83,22.56,74,0
1.95,22.57,74,0
2.08,22.58,74,0
2.2,22.58,74,0
2.32,22.59,74,0
2.44,22.59,74,0
2.57,22.6,74,0
2.69,22.61,74,0
2.81,22.61,74,0
2.93,22.61,74,0
3.05,22.61,74,0
3.18,22.62,74,0
3.3,22.63,74,0
3.42,22.62,74,0
3.54,22.63,74,0
3.67,22.64,74,0
3.79,22.63,74,0
3.91,22.63,74,0
4.03,22.63,74,0
4.16,22.64,74,0
4.28,22.63,74,0
4.4,22.65,74,0
4.52,22.66,74,0
4.64,22.64,74,0
4.77,22.64,74,0
4.89,22.64,74,0
5.01,22.64,74,0
5.13,22.64,74,0
5.26,22.64,74,0
5.38,22.65,74,0
5.5,22.64,74,0
5.62,22.64,74,0
5.74,22.65,74,0
5.87,22.64,74,0
5.99,22.64,74,0
6.11,22.63,74,0
6.23,22.64,74,0
6.36,22.64,74,0
6.48,22.65,74,0
6.6,22.64,74,0
6.72,22.64,74,0
6.84,22.64,74,0
6.97,22.63,74,0
7.09,22.64,74,0
7.21,22.65,74,0
7.33,22.63,74,0
7.46,22.64,74,0
7.58,22.63,74,0
7.7,22.63,74,0
7.82,22.63,74,0
7.95,22.63,74,0
8.07,22.63,74,0
8.19,22.64,74,0
8.31,22.64,74,0
8.43,22.63,74,0
8.56,22.63,74,0
8.68,22.64,74,0
8.8,22.63,74,0
8.92,22.64,74,0
9.05,22.64,74,0
9.17,22.63,74,0
9.29,22.63,74,0
9.41,22.63,74,0
9.53,22.63,74,0
9.66,22.63,74,0
9.78,22.63,74,0
9.9,22.63,74,0
10.02,22.63,74,0
10.15,22.62,74,0
10.27,22.63,74,0
10.39,22.63,74,0
10.51,22.62,74,0
10.64,22.62,74,0
10.76,22.62,74,0
10.88,22.61,74,0
11.0,22.61,74,0
11.12,22.61,74,0
11.25,22.61,74,0
11.37,22.6,74,0
11.49,22.61,74,0
11.61,22.6,74,0
11.74,22.59,74,0
11.86,22.6,74,0
11.98,22.59,74,0
12.1,22.58,74,0
12.22,22.58,74,0
12.35,22.59,74,0
12.47,22.57,74,0
12.59,22.6,74,0
12.71,22.6,74,0
12.84,22.59,74,0
12.96,22.59,74,0
13.08,22.58,74,0
13.2,22.58,74,0
13.32,22.57,74,0
13.45,22.58,74,0
13.57,22.58,74,0
13.69,22.57,74,0
13.81,22.57,74,0
13.94,22.56,74,0
14.06,22.57,74,0
14.18,22.56,74,0
14.3,22.57,74,0
14.43,22.56,74,0
14.55,22.56,74,0
14.67,22.56,74,0
14.79,22.55,74,0
